,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,cluster,States
98,0.75,0.5,0.7167,0.4400921658986175,1.198925762516785e-05,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.3333,0.3333,2,AZ
99,0.25,0.0,0.7167,0.4400921658986175,0.09964871475158259,0.28359749354957614,0.20775658097774527,0.46545000000000003,0.1951,0.3814,0,AZ
100,0.75,1.0,0.548,0.4400921658986175,0.20767192595434492,0.3215259859933653,0.3226307908603564,0.3036,0.6248,0.5262,1,AZ
101,0.5,1.0,0.7167,0.4400921658986175,0.013415979282562824,0.3215259859933653,0.3252826134168505,0.7996,0.8631,0.7791,1,AZ
102,0.25,1.0,0.7167,0.4400921658986175,0.0012588720506426243,0.3215259859933653,0.17579754706413525,0.46545000000000003,0.7656,0.7182,1,AZ
103,0.25,1.0,0.7167,0.4400921658986175,0.000557500479570305,0.3215259859933653,0.1974807685713306,0.46545000000000003,0.5452,0.5151,4,AZ
104,0.25,0.0,0.7167,0.4400921658986175,0.03388763667753693,0.2962403243641725,0.20775658097774527,0.46545000000000003,0.242,0.3374,0,AZ
105,0.25,0.0,0.7167,0.4400921658986175,0.12061193170918856,0.32432731293770733,0.20775658097774527,0.46545000000000003,0.2546,0.3726,0,AZ
106,0.5,1.0,0.8388,0.4400921658986175,0.0024518031843468254,0.3215259859933653,0.2540948940985518,0.2182,0.7674,0.7304,1,AZ
107,0.5,1.0,0.8388,0.4400921658986175,0.0029853251486667946,0.3215259859933653,0.25756969606913027,0.25,0.7983,0.68,1,AZ
108,0.25,0.0,0.7167,0.4400921658986175,0.028528438519086898,0.41566531514928123,0.20775658097774527,0.46545000000000003,0.2421,0.4772,0,AZ
109,0.25,1.0,0.7167,0.4400921658986175,0.012282994436984463,0.3215259859933653,0.22220444180278212,0.46545000000000003,0.6593,0.4818,4,AZ
110,0.5,0.0,0.7167,0.4400921658986175,0.008404469595242662,0.30641356431994105,0.20775658097774527,0.0205,0.0,0.8223,0,AZ
111,0.75,0.0,0.9137,0.4423963133640553,0.13194777479378478,0.5507556210836713,0.20775658097774527,0.4924,0.5571,0.3778,3,AZ
