,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
3742,TX,3,2,0.3759,1035.0,1690.0,8792.0,21071.0,0.514,0.604,0.3379,1
3743,TX,2,1,0.7167,1048.0,4958.0,6995.0,18259.0,0.46545000000000003,0.2792,0.5091,3
3744,TX,1,1,0.7167,1048.0,3580.0,8504.0,18259.0,0.46545000000000003,0.2705,0.3994,3
3745,TX,3,2,0.7318,1075.0,2165.0,8792.0,19784.0,0.4388,0.5765,0.4868,1
3746,TX,3,1,0.7167,1048.0,4691.0,8792.0,18259.0,0.46545000000000003,0.4457,0.418,0
3747,TX,2,1,0.7167,1048.0,57742.0,8671.0,18259.0,0.46545000000000003,0.3319,0.6624,0
3748,TX,3,1,0.9509,894.0,13297.0,10898.0,18259.0,0.1408,0.4419,0.4744,0
3749,TX,3,1,0.5102,903.0,2879.0,9766.0,18259.0,0.46545000000000003,0.4932,0.4369,0
3750,TX,3,1,0.5841,1136.0,30357.0,12822.0,18259.0,0.4754,0.4299,0.3879,0
3751,TX,1,1,0.7167,1048.0,4044.0,6506.0,18259.0,0.46545000000000003,0.1475,0.3396,3
3752,TX,3,2,0.5382,953.0,1059.0,8792.0,17678.0,0.4196,0.6664,0.4253,1
3753,TX,3,2,0.4589,780.0,924.0,8792.0,17868.0,0.2606,0.8382,0.7025,1
3754,TX,3,2,0.9307,967.0,6346.0,8792.0,19405.0,0.4,0.6301,0.4188,1
3755,TX,1,3,0.7167,1048.0,196.0,8792.0,17890.0,0.46545000000000003,0.9416,0.93,2
3756,TX,1,3,0.7167,1048.0,195.0,8792.0,8548.0,0.46545000000000003,0.8045,0.7167,2
3757,TX,2,3,0.8388,1048.0,612.0,8792.0,23932.0,0.3409,0.7415,0.6527,2
3758,TX,2,3,0.8388,1048.0,609.0,8792.0,22146.0,0.5443,0.8434,0.7256,2
3759,TX,2,2,0.7167,1048.0,296.0,8792.0,5119.0,0.46545000000000003,0.0,0.3393,3
3760,TX,3,2,0.7167,1048.0,578.0,8792.0,16469.0,0.0902,0.9619,0.9005,1
3761,TX,2,3,0.6806,1048.0,153.0,8792.0,20080.0,0.46545000000000003,0.6,0.6563,2
3762,TX,2,1,0.7167,1048.0,5764.0,4875.0,18259.0,0.46545000000000003,0.2267,0.3047,3
3763,TX,3,1,0.7682,974.0,9175.0,16109.0,18259.0,0.346,0.5438,0.4556,0
3764,TX,1,1,0.7167,1048.0,1938.0,3478.0,18259.0,0.46545000000000003,0.2334,0.3961,3
3765,TX,2,1,0.7167,1048.0,1811.0,9632.0,18259.0,0.46545000000000003,0.2138,0.3423,3
3766,TX,1,3,0.7167,1048.0,283.0,8792.0,4495.0,0.46545000000000003,0.0,0.8442,4
3767,TX,1,1,0.7167,1048.0,8048.0,4429.0,18259.0,0.46545000000000003,0.0,0.5689,3
3768,TX,3,1,0.4785,892.0,6560.0,5282.0,18259.0,0.4298,0.3872,0.5733,0
3769,TX,1,1,0.7167,1048.0,5775.0,7175.0,18259.0,0.46545000000000003,0.0974,0.3592,3
3770,TX,3,2,0.4066,1175.0,2173.0,8792.0,19814.0,0.528,0.7886,0.4086,1
3771,TX,1,3,0.7167,1048.0,867.0,8792.0,18338.0,0.46545000000000003,0.7258,0.719,2
3772,TX,1,3,0.7167,1048.0,49.0,8792.0,11184.0,0.46545000000000003,0.0,0.8193,4
3773,TX,3,2,0.9489,1010.0,1466.0,8792.0,19795.0,0.4125,0.7878,0.3927,1
3774,TX,2,1,0.7167,1048.0,4188.0,7864.0,18259.0,0.46545000000000003,0.0761,0.2566,3
3775,TX,3,2,0.8468,1069.0,3006.0,8792.0,22487.0,0.4719,0.6876,0.4098,1
3776,TX,2,1,0.7167,1048.0,7302.0,7455.0,18259.0,0.46545000000000003,0.4938,0.4814,0
3777,TX,3,2,0.5924,982.0,1157.0,8792.0,17803.0,0.3794,0.6637,0.4571,1
3778,TX,1,2,0.7167,1048.0,310.0,8792.0,18259.0,0.46545000000000003,0.6117,0.3625,1
3779,TX,1,3,0.7167,1048.0,58.0,8792.0,5399.0,0.46545000000000003,0.0,0.8381,4
3780,TX,2,1,0.7167,1048.0,3406.0,7030.0,18259.0,0.1352,0.0174,0.2005,3
3781,TX,3,1,0.7178,993.0,5192.0,9996.0,18259.0,0.4422,0.5099,0.3738,0
3782,TX,1,3,0.7167,1048.0,53.0,8792.0,7097.0,0.46545000000000003,0.0,0.494,4
3783,TX,2,3,0.7167,1048.0,201.0,8792.0,22461.0,0.4458,0.9075,0.7048,2
3784,TX,1,3,0.7167,1048.0,316.0,8792.0,27157.0,0.46545000000000003,0.6169,0.6722,2
